species,genus,category,source,obesity_signal,shap_importance,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism,safety_risk_class,safety_flags,recommended_action,needs_genome_confirmation,bsh_potential,butyrate_scfa_potential,propionate_potential,mucin_interaction,lactate_acetate,metabolic_guild,adverse_mechanism_flag,obesity_mechanism,functional_provenance,t,prot
Alistipes_shahii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.047,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025145845.1,Complete Genome,Alistipes shahii WAL 8301,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Blautia_obeum,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0404,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025147765.1,Complete Genome,Blautia obeum ATCC 29174,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Parabacteroides_distasonis,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0395,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018279895.1,Complete Genome,Parabacteroides distasonis,moderate_lbp_precedent,,human-trial precedent; requires genome AMR/virulence confirmation before use,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Alistipes_indistinctus,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.039,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025144995.1,Complete Genome,Alistipes indistinctus YIT 12060,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Adlercreutzia_equolifaciens,Adlercreutzia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0372,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000478885.1,Complete Genome,Adlercreutzia equolifaciens DSM 19450,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_xylanisolvens,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0368,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018289135.1,Complete Genome,Bacteroides xylanisolvens,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Blautia_wexlerae,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0315,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025148125.1,Complete Genome,Blautia wexlerae DSM 19850,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Megamonas_funiformis,Megamonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0227,requires_genome_safety_review,screening_only,B_protective_screening,GCF_010669225.1,Complete Genome,Megamonas funiformis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bifidobacterium_catenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.022,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025195.1,Complete Genome,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bifidobacterium_pseudocatenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0188,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025215.1,Complete Genome,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_caccae,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0138,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018292205.1,Complete Genome,Bacteroides caccae CL03T12C61,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_dorei,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0131,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_013009555.1,Complete Genome,Phocaeicola dorei,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_ovatus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0121,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_001314995.1,Complete Genome,Bacteroides ovatus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Dorea_formicigenerans,Dorea,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0116,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025150245.1,Complete Genome,Dorea formicigenerans,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_thetaiotaomicron,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_014131755.1,Complete Genome,Bacteroides thetaiotaomicron,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Coprococcus_eutactus,Coprococcus,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025149915.1,Complete Genome,Coprococcus eutactus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Odoribacter_splanchnicus,Odoribacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0067,requires_genome_safety_review,screening_only,B_protective_screening,GCF_900187175.1,Complete Genome,Odoribacter splanchnicus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Butyrivibrio_crossotus,Butyrivibrio,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0061,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025148445.1,Complete Genome,Eshraghiella crossota,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_cellulosilyticus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.006,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018292125.1,Complete Genome,Bacteroides cellulosilyticus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_salyersiae,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0056,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_031172035.1,Complete Genome,Bacteroides salyersiae,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Roseburia_hominis,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000225345.1,Complete Genome,Roseburia hominis A2-183,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Ruminococcus_lactaris,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025152405.1,Complete Genome,[Ruminococcus] lactaris ATCC 29176,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,1,0,mucin_interaction,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_faecis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_020091505.1,Complete Genome,Bacteroides faecis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Anaerotruncus_colihominis,Anaerotruncus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0011,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025146135.1,Complete Genome,Anaerotruncus colihominis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bifidobacterium_bifidum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025135.1,Complete Genome,Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bifidobacterium_dentium,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001042595.1,Complete Genome,Bifidobacterium dentium JCM 1195 = DSM 20436,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Alistipes_onderdonkii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,requires_genome_safety_review,screening_only,B_protective_screening,GCF_006542645.1,Complete Genome,Alistipes onderdonkii subsp. vulgaris,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bacteroides_nordii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_019930665.1,Complete Genome,Bacteroides nordii,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Blautia_hydrogenotrophica,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_034356035.1,Complete Genome,Blautia hydrogenotrophica DSM 10507,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Monoglobus_pectinilyticus,Monoglobus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,requires_genome_safety_review,screening_only,B_protective_screening,GCF_002874775.1,Chromosome,Monoglobus pectinilyticus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),1,1
Bifidobacterium_adolescentis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0406,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000010425.1,Complete Genome,Bifidobacterium adolescentis ATCC 15703,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lactococcus_lactis,Lactococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0169,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_003176835.1,Complete Genome,Lactococcus lactis subsp. lactis,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lactobacillus_ruminis,Lactobacillus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0078,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000224985.1,Complete Genome,Ligilactobacillus ruminis ATCC 27782,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lactobacillus_acidophilus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_034298135.1,Complete Genome,Lactobacillus acidophilus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lactobacillus_gasseri,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000014425.1,Complete Genome,Lactobacillus gasseri ATCC 33323 = JCM 1131,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lactobacillus_helveticus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_046109915.1,Complete Genome,Lactobacillus helveticus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lactobacillus_johnsonii,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_014058685.1,Complete Genome,Lactobacillus johnsonii,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lactobacillus_crispatus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_009769205.1,Complete Genome,Lactobacillus crispatus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lacticaseibacillus_rhamnosus,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_900636965.1,Complete Genome,Lacticaseibacillus rhamnosus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Lacticaseibacillus_casei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000829055.1,Complete Genome,Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Limosilactobacillus_fermentum,Limosilactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_005341425.1,Chromosome,Limosilactobacillus fermentum,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Pediococcus_acidilactici,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_016127815.1,Complete Genome,Pediococcus acidilactici,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Pediococcus_pentosaceus,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000014505.1,Complete Genome,Pediococcus pentosaceus ATCC 25745,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),2,0
Roseburia_intestinalis,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1556,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_900537995.1,Complete Genome,Roseburia intestinalis L1-82,moderate_lbp_precedent,,human-trial precedent; requires genome AMR/virulence confirmation before use,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Coprococcus_comes,Coprococcus,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1233,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_025149785.1,Complete Genome,Coprococcus comes ATCC 27758,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Lawsonibacter_asaccharolyticus,Lawsonibacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.075,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCA_022453915.1,Complete Genome,Lawsonibacter asaccharolyticus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Catenibacterium_mitsuokai,Catenibacterium,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.066,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_025148785.1,Complete Genome,Catenibacterium mitsuokai,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Roseburia_faecis,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0622,requires_genome_safety_lbp,screening_only,C_screening_hypothesis,GCF_045061065.1,Complete Genome,Roseburia faecis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),3,0
Flavonifractor_plautii,Flavonifractor,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0605,requires_genome_safety_review,screening_only,C_screening_hypothesis,GCF_010508875.1,Complete Genome,Flavonifractor plautii,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation),3,0
