combination_id,strains,target_population,source_strain_ids,evidence_summary,evidence_doi_list,evidence_pmid_list,safety_gate,functional_modules,complementarity_score,microbiome_matching_score,predicted_response_score,literature_evidence_score,validation_priority,recommended_prebiotic,notes
CMB3TO5_011,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_IDCC4301,4-strain evidence-derived combination; PMIDs 37447365; 39051504,,37447365; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; waist; weight,8.0,9.98,9.98,8.78,8.77,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_012,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BB_MCC1274,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.13,9.13,7.93,8.77,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_013,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_BB536; BB_MCC1274,5-strain evidence-derived combination; PMIDs 37447365; 38542727,,37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.0,9.0,7.8,8.73,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_014,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_BB536; BL_B420,5-strain evidence-derived combination; PMIDs 27810310; 37447365; 38542727,,27810310; 37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; visceral_fat; waist; weight,10.0,8.98,8.98,7.78,8.73,acacia gum; inulin/FOS; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_015,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BB_MCC1274; BL_B420,5-strain evidence-derived combination; PMIDs 27810310; 37447365; 38542727,,27810310; 37447365; 38542727,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; visceral_fat; waist; weight,10.0,8.98,8.98,7.78,8.72,acacia gum; inulin/FOS; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_016,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_B420,4-strain evidence-derived combination; PMIDs 27810310; 37447365,,27810310; 37447365,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; fiber_response; waist; weight,8.0,9.8,9.8,8.6,8.7,acacia gum; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_017,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BL_B420,5-strain evidence-derived combination; PMIDs 27810310; 37447365; 39051504,,27810310; 37447365; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; waist; weight,10.0,8.71,8.71,7.91,8.67,acacia gum; inulin/FOS; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_018,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BB_BBr60,5-strain evidence-derived combination; PMIDs 37447365; 39051504; 39456659,,37447365; 39051504; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; waist; weight,10.0,9.0,9.0,7.8,8.67,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_019,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Lactiplantibacillus plantarum BELP53,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_IDCC4301; LPL_BELP53,5-strain evidence-derived combination; PMIDs 37447365; 38999741; 39051504,,37447365; 38999741; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; waist; weight,10.0,8.95,8.95,7.75,8.65,FOS/GOS; acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_020,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Lacticaseibacillus paracasei BEPC22,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_IDCC4301; LP_BEPC22,5-strain evidence-derived combination; PMIDs 37447365; 38999741; 39051504,,37447365; 38999741; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; waist; weight,10.0,8.95,8.95,7.75,8.64,FOS/GOS; acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_021,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium lactis IDCC 4301,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BL_IDCC4301,3-strain evidence-derived combination; PMIDs 37447365; 39051504,,37447365; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; waist; weight,8.0,9.97,9.97,8.37,8.62,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_022,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BL_IDCC4301,3-strain evidence-derived combination; PMIDs 37447365; 39051504,,37447365; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; waist; weight,8.0,9.97,9.97,8.37,8.62,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_023,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BL_IDCC4301,3-strain evidence-derived combination; PMIDs 37447365; 39051504,,37447365; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; waist; weight,8.0,9.97,9.97,8.37,8.62,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_024,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_BB536; BB_BBr60,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 39456659,,37447365; 38542727; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; visceral_fat; waist; weight,10.0,8.88,8.88,7.68,8.62,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_025,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Lactiplantibacillus plantarum BELP53,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_BB536; LPL_BELP53,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 38999741,,37447365; 38542727; 38999741,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; visceral_fat; waist; weight,10.0,8.83,8.83,7.63,8.61,FOS/GOS; acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_026,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_B420; BB_BBr60,5-strain evidence-derived combination; PMIDs 27810310; 37447365; 39456659,,27810310; 37447365; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; glucose; waist; weight,10.0,8.86,8.86,7.66,8.61,acacia gum; inulin/FOS; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_027,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BB_BBr60,3-strain evidence-derived combination; PMIDs 37447365; 39456659,,37447365; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; waist; weight,9.0,9.56,9.56,7.96,8.6,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_028,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BB_BBr60,3-strain evidence-derived combination; PMIDs 37447365; 39456659,,37447365; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; waist; weight,9.0,9.56,9.56,7.96,8.6,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_029,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BB_BBr60,3-strain evidence-derived combination; PMIDs 37447365; 39456659,,37447365; 39456659,pass_literature_use_pending_genome_safety,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; waist; weight,9.0,9.56,9.56,7.96,8.6,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_030,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420; Lactiplantibacillus plantarum BELP53,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_B420; LPL_BELP53,5-strain evidence-derived combination; PMIDs 27810310; 37447365; 38999741,,27810310; 37447365; 38999741,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; lipid_metabolism; waist; weight,10.0,8.81,8.81,7.61,8.6,FOS/GOS; acacia gum; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_031,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Lacticaseibacillus paracasei BEPC22,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_BB536; LP_BEPC22,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 38999741,,37447365; 38542727; 38999741,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; visceral_fat; waist; weight,10.0,8.83,8.83,7.63,8.59,FOS/GOS; acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_032,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Lactiplantibacillus plantarum BELP53,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BB_MCC1274; LPL_BELP53,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 38999741,,37447365; 38542727; 38999741,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; visceral_fat; waist; weight,10.0,8.83,8.83,7.63,8.59,FOS/GOS; acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_033,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BL_IDCC4301; BL_BB536,4-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.01,9.01,7.41,8.58,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_034,Lactobacillus fermentum K7; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K11; BL_IDCC4301; BL_BB536,4-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.01,9.01,7.41,8.58,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_035,Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K8; LF_K11; BL_IDCC4301; BL_BB536,4-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.01,9.01,7.41,8.58,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_036,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Lacticaseibacillus paracasei BEPC22,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BB_MCC1274; LP_BEPC22,5-strain evidence-derived combination; PMIDs 37447365; 38542727; 38999741,,37447365; 38542727; 38999741,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; visceral_fat; waist; weight,10.0,8.83,8.83,7.63,8.58,FOS/GOS; acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_037,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420; Lacticaseibacillus paracasei BEPC22,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; LF_K11; BL_B420; LP_BEPC22,5-strain evidence-derived combination; PMIDs 27810310; 37447365; 38999741,,27810310; 37447365; 38999741,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; lipid_metabolism; waist; weight,10.0,8.81,8.81,7.61,8.58,FOS/GOS; acacia gum; polydextrose,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
CMB3TO5_038,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve MCC1274,overweight/obesity with high body fat or visceral fat; consider lipid/metabolic-risk subgroup when Bifidobacterium-dominant,LF_K7; LF_K8; BL_IDCC4301; BB_MCC1274,4-strain evidence-derived combination; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pass_literature_use_pending_genome_safety,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,10.0,9.01,9.01,7.41,8.56,acacia gum; inulin/FOS,"Generated with 3-5 strain constraint. Run strain-level genome safety gate (AMR, virulence, mobile elements) before experimental/product use."
