pmid,year,title,is_open_access,sequencing_accessions,repositories,triage_status,ipd_requirement,ena_pairing_verdict,ena_pairing_note
42194001,2026,Integrated Multi-Omics Analysis Explores the Protective Effects and Potential Mechanisms of &lt;i&gt;Pulsatilla chinensis&lt;/i&gt; on Canine Antibiotic-Associated Diarrhea.,Y,PRJNA1091895,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41427732,2026,"Randomized, placebo-controlled trial reveals the impact of dose and timing of &lt;i&gt;Bifidobacterium infantis&lt;/i&gt; probiotic supplementation on breastfed infants' gut microbiome.",Y,PRJNA1188647,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,off_target_outcome,"PRJNA1188647: large paired 16S RCT BUT breastfed-infant B.infantis COLONIZATION outcome, not adiposity -> not fat-loss IPD"
41526486,2026,Distinct oral and fecal microbiota composition in preschool children with overweight/obesity: a cross-sectional study.,Y,PRJNA1223002,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,cross_sectional_no_intervention,"PRJNA1223002: preschool overweight but cross-sectional, no treatment/delta"
42193435,2026,"Agaro-Oligosaccharide Supplementation Alters the Gut Microbiota, Revealing Potential Agaro-Oligosaccharide-Utilizing Taxa in Healthy Japanese Adults.",Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41159770,2025,Lactiplantibacillus plantarum Attenuates Diet-Induced Obesity and Insulin Resistance Through Gut Microbiota-Driven PPAR/PI3K-Axis Modulation.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41377121,2025,Low-calorie diet intervention ameliorates gut microbiota dysbiosis and metabolic changes in obese patients with type 2 diabetes under standard care.,Y,PRJNA1211859,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,human_paired_IPD_ready_diet,PRJNA1211859: 19/20 paired w0/6/12; low-calorie DIET (not probiotic) -> methodology pilot only
41305606,2025,<i>Lactiplantibacillus plantarum</i> Lp20 Alleviates High Fat Diet-Induced Obesity in Mice via Its Bile Salt Hydrolase Activity.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
40669445,2025,Intrinsic chicory root fibers modulate colonic microbial butyrate-producing pathways and improve insulin sensitivity in individuals with obesity.,Y,PRJEB81868,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41356224,2025,Encapsulated Indigenous Lactic Acid Bacteria Strains From Traditional Iranian Cheese Alleviate Hyperglycemia and Inflammation in Streptozotocin-Induced Diabetic Rats.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41312007,2025,Effect of intervention with &lt;i&gt;Bifidobacterium animalis&lt;/i&gt; subsp. &lt;i&gt;lactis&lt;/i&gt; BLa80 on the composition of the gut microbiota of healthy volunteers: a placebo-controlled randomized trial.,Y,PRJNA1029335,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,off_target_outcome,"PRJNA1029335: B.animalis in HEALTHY adults, no adiposity endpoint"
40169760,2025,A double blinded randomized placebo trial of Bifidobacterium animalis subsp. lactis BLa80 on sleep quality and gut microbiota in healthy adults.,Y,PRJNA1094618,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,off_target_outcome,"PRJNA1094618: B.animalis BLa80 SLEEP-quality outcome, not adiposity"
41376027,2025,Host Dietary Nutrients Shape GH32-Mediated Microbial Responses to Prebiotic Fructans: A Randomized Trial.,Y,PRJNA1301572,BioProject,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41415809,2025,Characterization of the gut microbiota in people with different levels of obesity.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
40825779,2025,Synbiotic yogurt with nanoparticle entrapped rice straw hemicellulose for immediate probiotic support and prebiotic delivery.,Y,,Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
41295731,2025,"Effects of &lt;i&gt;Bacteroides fragilis&lt;/i&gt; and &lt;i&gt;Enterococcus faecium&lt;/i&gt; Administration as Probiotic Candidates: Impact on Growth Performance, Organ Indices, and Gut Microbiota Balance in Mice.",Y,PRJNA753235; SRP233155,BioProject; Nucleotide Sequences,needs_manual_pairing_check,confirm per-subject baseline+followup sample pairing and recoverable individual adiposity outcome before use,,
